Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Australia,AUS,1977,143,5233,22903,29006,22271,12229,5265,2401,2496,1663,3837
Australia,AUS,1978,148,5457,22995,29421,22303,12309,4902,2429,2569,1672,3669
Australia,AUS,1979,174,5953,22855,29134,21508,12063,4647,2373,2589,1489,3366
Australia,AUS,1980,188,6256,23966,29812,21413,11894,4607,2371,2384,1451,3231
Australia,AUS,1981,211,6667,24529,30341,21594,11653,4323,2354,2472,1454,3284
Australia,AUS,1982,242,7517,26129,31803,22240,11495,4313,2413,2612,1423,3276
Australia,AUS,1983,231,6936,25158,31328,21588,11150,4033,2404,2527,1234,3113
Australia,AUS,1984,262,7604,26622,32591,21537,10702,4219,2538,2483,1313,2981
Australia,AUS,1985,287,8249,28886,33885,21672,10429,4197,2606,2712,1305,3173
Australia,AUS,1986,303,8165,27523,33334,21542,9812,4259,2595,2541,1313,2840
Australia,AUS,1987,347,8681,29581,34303,21664,9792,4338,2668,2579,1280,2845
Australia,AUS,1988,358,8827,30204,34531,21845,9377,4464,2738,2701,1315,2680
Australia,AUS,1989,423,10176,32968,35976,22601,9198,4497,2884,2631,1287,2795
Australia,AUS,1990,370,9193,31287,34055,21619,8751,4502,2813,2554,1135,2710
Australia,AUS,1991,397,9660,31807,34063,21043,8511,4587,2894,2368,1045,2347
Australia,AUS,1992,429,10363,34165,35178,20883,8620,4664,2835,2349,980,2445
Australia,AUS,1993,448,10445,34555,34327,19858,8345,4639,2973,2185,975,2173
Australia,AUS,1994,515,11876,37554,35522,19965,8482,4895,2995,2234,959,2109
Australia,AUS,1995,516,11901,37753,34561,19015,8338,4783,3139,2349,941,2033
Australia,AUS,1996,545,13017,39218,35196,18499,8585,4864,3081,2272,987,2010
Australia,AUS,1997,570,13592,39927,34911,18072,8659,4831,2969,2351,1010,1909
Australia,AUS,1998,576,13772,39299,34945,17094,8686,4801,3129,2461,959,1799
Australia,AUS,1999,603,14547,40037,35272,16306,8651,4837,3011,2429,937,1918
Australia,AUS,2000,663,15713,40833,34477,15894,8899,4878,2985,2221,936,1729
Australia,AUS,2001,695,16072,41808,33971,15682,9106,4768,2787,1881,802,1694
Australia,AUS,2002,762,17889,44390,33943,15913,9176,4899,2666,1812,803,1684
Australia,AUS,2003,782,18451,44108,32743,15812,9012,5012,2640,1742,769,1635
Australia,AUS,2004,781,18972,44955,32159,15740,9196,4844,2530,1717,718,1602
Australia,AUS,2005,823,19735,45155,30423,15679,9221,4933,2461,1655,637,1725
Australia,AUS,2006,929,21202,47039,30096,15608,9320,4858,2415,1594,703,1655
Australia,AUS,2007,1010,22321,49178,30334,16725,9569,4873,2572,1659,687,1588
Australia,AUS,2008,1109,23816,51338,30041,16568,9393,4839,2486,1590,653,1619
Australia,AUS,2009,1112,23455,50759,29101,16866,9633,5011,2514,1640,663,1598
Australia,AUS,2010,1188,24883,51624,28653,16885,9507,4793,2409,1530,646,1593
Australia,AUS,2011,1271,26565,52548,29068,17484,9733,4797,2417,1582,606,1486
Australia,AUS,2012,1373,28686,53039,29215,17790,9602,4653,2275,1579,639,1356
Australia,AUS,2013,1363,28458,51747,28982,18422,9931,4782,2297,1447,569,1462
Australia,AUS,2014,1529,31122,52458,30379,18821,10088,4897,2471,1504,526,1344
Australia,AUS,2015,1610,32721,53022,30872,18849,10351,5042,2470,1520,613,1276
Australia,AUS,2016,1706,33892,52751,31592,18922,10169,4956,2519,1582,526,1259
Australia,AUS,2017,1770,35709,53692,33440,19324,10261,5142,2606,1541,607,1339
Australia,AUS,2018,1759,34967,51250,32835,19163,10117,4788,2532,1546,584,1247
Australia,AUS,2019,1907,37036,52550,33990,19433,10094,4928,2549,1682,597,1278
Australia,AUS,2020,1983,36387,51327,34462,19002,9993,4715,2584,1632,616,1148
Australia,AUS,2021,2304,38714,53694,36054,19774,10343,4664,2472,1507,619,1291
Australia,AUS,2022,3075,47932,64324,42118,32023,12554,1181,20,20,18,1476
Australia,AUS,2023,2796,43344,59249,39061,23992,10786,3011,219,147,57,1265
Europe (UN),,1950,2713,163016,931002,1393690,1005761,610487,396907,226153,240741,146361,1344482
Europe (UN),,1951,2984,165286,973492,1469554,1040263,629618,397442,216259,235569,140119,1343783
Europe (UN),,1952,3078,157863,944970,1438061,1022928,627270,383536,197146,215715,124663,1194992
Europe (UN),,1953,3086,158062,974300,1476156,1034369,635937,377067,184688,200667,113287,1098952
Europe (UN),,1954,2996,154240,962305,1456705,1020888,632176,359931,169160,177055,97513,1058621
Europe (UN),,1955,2877,156573,989366,1470930,1019032,635534,349889,165031,167867,90132,973589
Europe (UN),,1956,2941,160495,1033181,1510563,1032522,643653,337956,164770,155265,82079,801554
Europe (UN),,1957,2881,155503,1018676,1512549,1060451,663200,330951,174965,156262,82338,783105
Europe (UN),,1958,2847,153481,1019506,1476884,1016866,642166,302867,173028,143664,73348,713660
Europe (UN),,1959,2920,158243,1043064,1504718,1043715,654895,292877,180298,141025,71353,686832
Europe (UN),,1960,2970,166442,1080583,1526061,1065249,657020,284745,183220,137837,66557,628311
Europe (UN),,1961,3017,166480,1080590,1516715,1080174,656544,276963,184610,134651,64828,584224
Europe (UN),,1962,3187,179944,1158155,1600542,1141425,678173,274841,187554,130576,64617,547190
Europe (UN),,1963,3145,184320,1178926,1612382,1168051,681087,272113,187860,126489,65915,516762
Europe (UN),,1964,3004,178623,1142544,1569044,1162868,669297,263827,182963,120908,66467,475534
Europe (UN),,1965,3200,194604,1211443,1637775,1218979,680151,269946,185205,115771,68187,438611
Europe (UN),,1966,3265,201392,1227422,1644287,1238807,670216,281203,186365,114816,71324,418344
Europe (UN),,1967,3360,210403,1254974,1674419,1268933,655921,302205,187374,114129,72077,405093
Europe (UN),,1968,3582,227686,1340538,1754092,1323608,649372,326916,189614,112391,72647,396898
Europe (UN),,1969,3674,229124,1355387,1827504,1403684,652293,358223,194188,115028,74690,383595
Europe (UN),,1970,3859,236021,1367031,1823710,1386609,629817,368973,192740,115753,75244,363500
Europe (UN),,1971,4097,246829,1397550,1855262,1385572,619739,381688,190825,117279,75520,345532
Europe (UN),,1972,4341,255160,1407980,1895155,1393306,608692,386310,188604,119597,74943,326256
Europe (UN),,1973,4628,271031,1453925,1947692,1397474,597754,390354,183968,121307,73031,315249
Europe (UN),,1974,4873,280795,1460010,1974567,1393621,592583,394918,182725,124286,72459,309916
Europe (UN),,1975,5164,293606,1507718,2054933,1410380,606727,404797,184044,132666,72785,300253
Europe (UN),,1976,5578,308537,1531226,2089525,1384326,635455,410433,183406,137630,72102,290184
Europe (UN),,1977,5699,308577,1518447,2095280,1332359,674153,415249,182988,141633,72190,279377
Europe (UN),,1978,6132,324390,1565613,2162783,1302113,723910,418473,180133,143516,71109,268033
Europe (UN),,1979,6448,334564,1589736,2205754,1267863,772438,420877,178191,145540,69820,257328
Europe (UN),,1980,6833,345542,1649167,2250238,1244353,802592,420525,177319,146662,67882,249433
Europe (UN),,1981,7191,353233,1707882,2255222,1210236,814304,412643,174318,145541,66252,240138
Europe (UN),,1982,7547,355852,1737922,2245619,1174414,816245,399574,173981,141831,62474,229503
Europe (UN),,1983,8387,376069,1832647,2296877,1170849,833139,396891,180265,140096,59737,223888
Europe (UN),,1984,8571,377518,1852898,2289355,1160008,836994,395618,190182,138275,57012,219137
Europe (UN),,1985,9447,404417,1949618,2315347,1168594,817508,370657,188123,129078,54269,211455
Europe (UN),,1986,9814,409800,1952358,2223792,1182305,771237,335464,177078,117733,51580,204514
Europe (UN),,1987,10115,418526,1968363,2128237,1235231,762109,323621,178236,115431,50953,200284
Europe (UN),,1988,10964,443696,2034533,2054139,1306321,755937,320526,185913,120055,52227,190177
Europe (UN),,1989,11890,467561,2081995,1975570,1366682,757393,324257,198709,126013,53539,176712
Europe (UN),,1990,12485,497917,2149297,1963510,1417449,767102,333801,209873,128664,53805,165627
Europe (UN),,1991,12946,526224,2189115,1939243,1451726,771265,344923,220605,132002,55163,156601
Europe (UN),,1992,13390,550415,2222449,1911494,1498024,801282,381923,249846,146071,57171,149138
Europe (UN),,1993,14697,601900,2345400,1953725,1587301,859977,444561,280816,150064,58669,140451
Europe (UN),,1994,15065,612587,2344574,1939081,1607778,883880,499246,295805,145702,55631,127804
Europe (UN),,1995,15950,644283,2367025,1977823,1580338,852605,515286,294923,152829,58537,119134
Europe (UN),,1996,17188,669077,2314640,2006289,1533297,799613,497942,266796,141073,54243,109969
Europe (UN),,1997,18539,692456,2226222,2081957,1489791,751814,473466,236650,128789,51315,103339
Europe (UN),,1998,20011,721201,2148069,2186027,1459369,720301,468786,225095,129346,51527,97221
Europe (UN),,1999,21541,757585,2110605,2304284,1469701,726843,498069,236065,140841,55397,93063
Europe (UN),,2000,22573,765394,2062635,2332361,1456498,730580,513128,236794,142281,53319,86069
Europe (UN),,2001,24322,782924,2035329,2345830,1438494,740877,525744,231605,132959,51090,82323
Europe (UN),,2002,26367,828712,2070500,2383435,1431297,769985,541454,228938,129804,48248,78145
Europe (UN),,2003,28273,875865,2133808,2384143,1406283,812128,551988,227268,128651,46056,74925
Europe (UN),,2004,27959,840510,2073563,2274558,1343384,835836,544044,222416,127926,44149,72278
Europe (UN),,2005,30095,864777,2149385,2249329,1306729,878572,540981,221262,128181,41864,68793
Europe (UN),,2006,31208,825922,2189666,2161142,1232919,869607,497706,207850,122940,39061,66963
Europe (UN),,2007,33509,807056,2289996,2123729,1185537,858189,468782,199400,118993,37044,65267
Europe (UN),,2008,36416,795885,2401209,2099896,1151359,856608,449242,194204,114927,33458,63564
Europe (UN),,2009,38344,783724,2480484,2058144,1119156,833920,417382,182853,107162,30340,61947
Europe (UN),,2010,41215,813021,2542917,2041881,1111284,830537,405220,181436,104745,28833,63289
Europe (UN),,2011,42862,847971,2518545,1959491,1079151,793415,371539,168015,95554,24844,56594
Europe (UN),,2012,47150,932152,2592431,1935729,1092102,774732,352243,162066,90921,23069,58659
Europe (UN),,2013,49334,969456,2564319,1882610,1113334,758637,338805,159309,85744,21285,55223
Europe (UN),,2014,51339,1002072,2515125,1842539,1144631,747911,332227,160296,83130,20866,52990
Europe (UN),,2015,54415,1111199,2595523,1845497,1199531,734765,321501,152900,74630,19521,49760
Europe (UN),,2016,50632,1129242,2537109,1789554,1226208,711801,311359,146444,66860,18276,47708
Europe (UN),,2017,50211,1218774,2586953,1761871,1223641,678058,297081,139913,60917,17702,44347
Europe (UN),,2018,49303,1272020,2618449,1752963,1252216,673572,300911,140824,56523,17441,41342
Europe (UN),,2019,49855,1292795,2593806,1729743,1259245,657207,298339,139857,53784,16954,38841
Europe (UN),,2020,60093,1478948,2971233,1980089,1450947,689691,311134,160226,53701,16797,35687
Europe (UN),,2021,65261,1425089,3007276,2174927,1600127,731040,344233,160067,50085,18279,35766
Europe (UN),,2022,73616,1469695,2755212,1913189,1369253,636108,314069,163670,60911,20768,35201
Europe (UN),,2023,73661,1417275,2591205,1804125,1248929,602452,297277,147952,61959,18307,30122
Oceania (UN),,1950,50,2699,18373,27839,23262,13505,8307,6673,6798,4319,34691
Oceania (UN),,1951,49,3022,18964,28993,24230,14249,8950,7614,7863,5439,37469
Oceania (UN),,1952,48,2962,18806,28747,24305,13963,8722,6894,6723,4121,35009
Oceania (UN),,1953,50,3032,18462,28779,23566,13649,8693,6654,6472,4083,34717
Oceania (UN),,1954,52,3284,19034,30050,23749,13592,8745,6733,6406,3970,34355
Oceania (UN),,1955,55,3346,19061,30165,24026,13610,8847,6634,6077,3978,34312
Oceania (UN),,1956,60,3612,20776,31843,24314,13893,9051,6735,6066,3884,34115
Oceania (UN),,1957,63,3654,19940,31795,24395,14119,9211,6870,5977,3965,34108
Oceania (UN),,1958,66,3688,19654,31442,23687,14258,9266,6711,5826,3864,33609
Oceania (UN),,1959,74,4105,21071,33621,24470,15008,9637,6922,5625,3899,33725
Oceania (UN),,1960,79,4198,21166,33047,24418,15155,9734,6717,5483,3912,33085
Oceania (UN),,1961,82,4135,21681,33793,24370,15343,9776,6697,5477,3942,32896
Oceania (UN),,1962,89,4345,23187,35260,24778,16056,10096,6747,5513,3977,32642
Oceania (UN),,1963,97,4425,23516,35870,25430,16613,10271,6572,5422,3981,31764
Oceania (UN),,1964,100,4746,25377,37600,26516,17565,10533,6622,5438,4120,31290
Oceania (UN),,1965,105,4702,25225,36994,26750,17937,10521,6542,5535,4212,30485
Oceania (UN),,1966,120,5092,26995,38344,27922,18376,10506,6490,5532,4266,30073
Oceania (UN),,1967,112,4890,26195,37084,27829,18775,10889,6123,5618,4096,29668
Oceania (UN),,1968,128,5586,29134,38739,29252,18949,10868,6214,5675,4285,29619
Oceania (UN),,1969,121,5282,27650,37732,29457,18890,11042,6034,5627,4182,29392
Oceania (UN),,1970,133,5845,29698,39270,30737,19473,11074,6178,5863,4389,29211
Oceania (UN),,1971,136,5991,29523,37702,29512,19060,10776,5943,5892,4450,29010
Oceania (UN),,1972,147,6260,29718,38201,30568,19310,10730,5830,5743,4392,28086
Oceania (UN),,1973,152,6280,30142,38176,31111,19424,10785,5806,5825,4485,27074
Oceania (UN),,1974,172,6967,31474,39414,32159,20089,10787,5857,5854,4560,26258
Oceania (UN),,1975,158,6483,29525,37705,31505,19573,10354,5914,5839,4499,25168
Oceania (UN),,1976,187,7251,31019,39931,32121,19799,10168,5729,5728,4459,24089
Oceania (UN),,1977,184,6996,29787,38949,31659,19361,9979,5772,6021,4555,23319
Oceania (UN),,1978,190,7136,29488,39296,31693,19456,9543,5727,5971,4456,22548
Oceania (UN),,1979,223,7675,29653,39554,31212,19367,9195,5645,6006,4259,21833
Oceania (UN),,1980,241,8231,31513,40823,31543,19198,9084,5623,5899,4178,21265
Oceania (UN),,1981,267,8583,31739,40965,31659,19026,8851,5599,5939,4186,20964
Oceania (UN),,1982,304,9519,33621,42662,32588,18877,8814,5715,6163,4093,20738
Oceania (UN),,1983,296,8956,32964,42676,32078,18399,8491,5693,6142,3899,20520
Oceania (UN),,1984,333,9646,34391,44086,31912,17965,8638,5864,6097,3945,20185
Oceania (UN),,1985,374,10697,37528,45966,32451,17695,8699,5923,6431,3972,20257
Oceania (UN),,1986,387,10461,36113,45604,32415,17090,8724,6051,6347,4003,19900
Oceania (UN),,1987,438,11080,38599,46830,32659,17139,8859,6153,6471,3970,19705
Oceania (UN),,1988,451,11279,39596,47082,32927,16497,9043,6288,6635,3959,19515
Oceania (UN),,1989,524,12650,42379,48570,33654,16266,9123,6453,6566,3950,19474
Oceania (UN),,1990,471,11643,40674,46666,32699,15944,9199,6471,6558,3768,19205
Oceania (UN),,1991,500,12159,41248,46792,32290,15663,9365,6677,6280,3665,18800
Oceania (UN),,1992,538,13042,44313,48362,32272,15951,9453,6666,6306,3610,18766
Oceania (UN),,1993,561,13226,44893,47868,31224,15751,9559,6883,6164,3630,18591
Oceania (UN),,1994,637,14810,48302,49143,31375,15894,9848,7025,6190,3572,18524
Oceania (UN),,1995,649,15107,48872,48603,30564,15964,9932,7257,6442,3623,18487
Oceania (UN),,1996,684,16407,50927,49478,30249,16289,10114,7364,6380,3764,18653
Oceania (UN),,1997,713,17066,51713,49068,29699,16539,10235,7323,6489,3800,18734
Oceania (UN),,1998,710,17163,50807,49231,28859,16771,10502,7834,6888,4131,19616
Oceania (UN),,1999,755,18489,52480,50281,28141,16840,10537,7555,6664,3798,18986
Oceania (UN),,2000,807,19484,53179,49316,27758,17225,10791,7632,6524,3813,18972
Oceania (UN),,2001,865,20411,55081,49135,27898,17602,10849,7563,6278,3762,19031
Oceania (UN),,2002,944,22501,58036,49445,28380,18058,11322,7617,6347,3839,19211
Oceania (UN),,2003,967,23257,58064,48303,28473,18157,11709,7702,6345,3903,19155
Oceania (UN),,2004,969,23994,59520,47914,28696,18569,11794,7683,6444,3900,19177
Oceania (UN),,2005,1011.99994,24761,59456,45904,28748,18877,12155,7730,6506,3881,19311
Oceania (UN),,2006,1144,26703,61909,46188,29097,19273,12267,7732,6504,3982,19213
Oceania (UN),,2007,1222,27881,64472,46629,30538,19794,12490,8026,6656,4014,19237
Oceania (UN),,2008,1336,29669,67264,46657,30791,19883,12510,7907,6622,3959,19063
Oceania (UN),,2009,1347,29517,66785,45800,31396,20375,12900,7993,6713,3985,19024
Oceania (UN),,2010,1428,31048,67685,45365,31504,20505,12765,7835,6567,3889,18833
Oceania (UN),,2011,1548,33375,69345,46397,32612,21074,12793,7848,6666,3822,18498
Oceania (UN),,2012,1663,35618,70119,47058,33328,21392,12846,7702,6647,3862,18230
Oceania (UN),,2013,1643,35067,68693,47080,34247,22082,12941,7712,6458,3714,18068
Oceania (UN),,2014,1847,38476,70041,49026,35194,22673,13093,7903,6519,3624,17849
Oceania (UN),,2015,1947,40323,70798,50174,35727,23254,13332,7928,6571,3716,17418
Oceania (UN),,2016,2036,41402,70561,51011,36224,23524,13333,8055,6670,3592,17049
Oceania (UN),,2017,2125,43700,72405,53981,37251,23918,13609,8230,6706,3675,16808
Oceania (UN),,2018,2132,43288,70045,53712,37574,24199,13343,8263,6735,3698,16449
Oceania (UN),,2019,2276,45463,71895,55556,38454,24519,13670,8370,6946,3701,16175
Oceania (UN),,2020,2346,44730,70717,57067,39907,25410,13633,8112,6517,3717,15658
Oceania (UN),,2021,2717,47542,74370,60274,42580,27905,15241,8977,6730,3716,15422
Oceania (UN),,2022,3610,58212,86441,67259,53939,28649,11018,6348,5276,3208,15251
Oceania (UN),,2023,3252,52529,80421,63302,45522,26126,12252,6367,5345,3162,14569
World,OWID_WRL,1950,8378,409301,2766890,5062789,5017177,3661557,2912009,2457643,2605840,2022298,21563010
World,OWID_WRL,1951,8410,407257,2771176,5103615,5003019,3654217,2865380,2373071,2495975,1964489,21529552
World,OWID_WRL,1952,8483,396187,2710575,5033227,4931329,3608010,2775244,2245676,2329369,1866358,21478906
World,OWID_WRL,1953,8517,397539,2735629,5066771,4926233,3608160,2742478,2199438,2280298,1813176,21461336
World,OWID_WRL,1954,8199,390782,2691758,5010803,4881466,3579134,2682866,2133430,2202176,1740018,21341796
World,OWID_WRL,1955,7806,395529,2734404,5066793,4922898,3609515,2672740,2121353,2181291,1711563,21211764
World,OWID_WRL,1956,7795,401971,2793608,5148739,4963736,3644739,2658005,2120453,2166146,1687584,20886286
World,OWID_WRL,1957,7893,397814,2794652,5225862,5039879,3705087,2658193,2140871,2168945,1691049,21050530
World,OWID_WRL,1958,7715,392708,2784721,5231998,4999878,3707647,2626710,2147316,2155080,1680681,20783808
World,OWID_WRL,1959,7483,400153,2880458,5549107,5357842,4041513,2839065,2346810,2317539,1943419,23041124
World,OWID_WRL,1960,7464,414677,2988055,5818071,5714216,4358800,3059687,2543254,2474587,2239179,24994450
World,OWID_WRL,1961,7416,407295,2921798,5596017,5471763,4102674,2846847,2383046,2300077,2012077,21869914
World,OWID_WRL,1962,7784,421760,2962489,5500596,5242781,3816667,2583799,2167654,2066768,1697627,19593522
World,OWID_WRL,1963,8012.9995,432722,3010961,5563070,5318997,3830371,2576043,2164024,2033501,1718030,20257476
World,OWID_WRL,1964,7987,430470,3001200,5569191,5358946,3826625,2559666,2151476,1998211,1734705,20184404
World,OWID_WRL,1965,8547,458515,3139960,5753294,5552617,3928571,2640602,2236225,2083490,1840052,20571676
World,OWID_WRL,1966,8832,473246,3192004,5795668,5590483,3892196,2618700,2188248,2000053,1845729,20236364
World,OWID_WRL,1967,9110,488570,3259383,5851291,5644068,3856340,2616997,2152356,1964177,1829791,19896710
World,OWID_WRL,1968,10008,518940,3419151,5989215,5741396,3834499,2630468,2126342,1943718,1810265,19605244
World,OWID_WRL,1969,10271,523946,3481932,6104919,5865122,3825416,2660537,2105522,1941638,1803600,19493050
World,OWID_WRL,1970,10581,538926,3540281,6179723,5907496,3819501,2689284,2101359,1972424,1842206,19561686
World,OWID_WRL,1971,11317,565611,3629553,6331716,6029939,3916197,2826371,2249453,2242115,1916864,19664972
World,OWID_WRL,1972,12125,584329,3666705,6392650,5951208,3781025,2685163,2033485,1995728,1791775,18876028
World,OWID_WRL,1973,13059,614928,3771278,6508103,5959044,3754646,2670768,1985131,1996895,1780637,18518788
World,OWID_WRL,1974,13795,635271,3830988,6610523,5987052,3751921,2673013,1958332,2026978,1792064,18198160
World,OWID_WRL,1975,14416,655889,3923487,6757962,6024609,3786214,2702512,1979840,2117475,1866978,17793612
World,OWID_WRL,1976,15857,696175,4033463,6894154,6047883,3840371,2714398,1964047,2152068,1904130,17444710
World,OWID_WRL,1977,16394,707381,4072788,6970432,5995400,3864890,2680494,1914272,2128225,1845476,16971042
World,OWID_WRL,1978,17711,748540,4209576,7146661,6001759,3939650,2671855,1899579,2153959,1832642,16671211
World,OWID_WRL,1979,18584,777294,4308967,7285482,5973147,3979404,2618788,1841500,2077370,1726453,16356895
World,OWID_WRL,1980,20312,824197,4509271,7492230,6014423,4043709,2606887,1849613,2080757,1722256,16186270
World,OWID_WRL,1981,21215,847521,4660911,7580447,6018427,4074105,2587108,1863209,2085114,1719682,16013055
World,OWID_WRL,1982,22460,869402,4801201,7686459,6036740,4101370,2563799,1884687,2083828,1708187,15901209
World,OWID_WRL,1983,25037,925697,5035543,7871257,6090355,4152895,2551401,1915989,2079697,1700157,15858547
World,OWID_WRL,1984,26736,955817,5176327,7978079,6133613,4176650,2540975,1958294,2086479,1678932,15718722
World,OWID_WRL,1985,29585,1020037,5408586,8123153,6204285,4177645,2507808,1990333,2081670,1659053,15570657
World,OWID_WRL,1986,31499,1050911,5524804,8118670,6268419,4140131,2461510,2004999,2065243,1622274,15355151
World,OWID_WRL,1987,34447,1086611,5659035,8102179,6380546,4151699,2453816,2043122,2071129,1603980,15070448
World,OWID_WRL,1988,38027,1154452,5882270,8136578,6549182,4175716,2468028,2080687,2078853,1589812,15029578
World,OWID_WRL,1989,40538,1200714,6034791,8125465,6673580,4180306,2488173,2107314,2084976,1562127,14680278
World,OWID_WRL,1990,43063,1271952,6243389,8235614,6827817,4223347,2547603,2162569,2138864,1567789,14532338
World,OWID_WRL,1991,45070,1332611,6381905,8299063,6934346,4249016,2607497,2200882,2163808,1579899,14314336
World,OWID_WRL,1992,46025,1398786,6524739,8364669,7046222,4288481,2692297,2259273,2199035,1566074,13896273
World,OWID_WRL,1993,48759,1509538,6785379,8509317,7212465,4357916,2815597,2329653,2212400,1560272,13490508
World,OWID_WRL,1994,49499,1568778,6915893,8616748,7354981,4464518,3063385,2560588,2403986,1669018,13263215
World,OWID_WRL,1995,52012,1656612,7067370,8748174,7338013,4385065,3033174,2413869,2224200,1556871,12931530
World,OWID_WRL,1996,54486,1724753,7118830,8876783,7345506,4344067,3084122,2423896,2229990,1563683,12644839
World,OWID_WRL,1997,58689,1803749,7157091,9075686,7359131,4314186,3114979,2415557,2226083,1571643,12335216
World,OWID_WRL,1998,63513,1889831,7218129,9339647,7390470,4329755,3191975,2462569,2268741,1603037,12095835
World,OWID_WRL,1999,70058,2005525,7351968,9623704,7443109,4385654,3268212,2504066,2271221,1585449,11674616
World,OWID_WRL,2000,75232,2068641,7438032,9780476,7444305,4436032,3309293,2524451,2246316,1565380,11352210
World,OWID_WRL,2001,80456,2137714,7565463,9931941,7451081,4515570,3362715,2565445,2244178,1563039,11013642
World,OWID_WRL,2002,86037,2248843,7781022,10112685,7467414,4622156,3409926,2584257,2236502,1545270,10663423
World,OWID_WRL,2003,91124,2366470,8033702,10268929,7456643,4758956,3464464,2590509,2236428,1528162,10281685
World,OWID_WRL,2004,93109,2393471,8154538,10302233,7419135,4902146,3517208,2608008,2253214,1533915,10010825
World,OWID_WRL,2005,99317,2507849,8457738,10416816,7388150,5047521,3526955,2577795,2228939,1496917,9642439
World,OWID_WRL,2006,103526,2533605,8688537,10460370,7339635,5141747,3502892,2546982,2211448,1459347,9293687
World,OWID_WRL,2007,109545,2581725,9002723,10549061,7332000,5223400,3481514,2516982,2191952,1427427,8993718
World,OWID_WRL,2008,117046,2654160,9368476,10676021,7395783,5352946,3503864,2512135,2192205,1424436,8789948
World,OWID_WRL,2009,121693,2690487,9619297,10701545,7452384,5412471,3498782,2473954,2191295,1395630,8565084
World,OWID_WRL,2010,130192.99,2825228,9897425,10751719,7544969,5457019,3491995,2420048,2128804,1358225,8262963
World,OWID_WRL,2011,137003,2968652,10110190,10783975,7673800,5497631,3495528,2378185,2093378,1329921,8113176.5
World,OWID_WRL,2012,145751,3140489,10362044,10814997,7842468,5536062,3484897,2346266,2063793,1294473,7763548
World,OWID_WRL,2013,152201,3271072,10542559,10838497,8074186,5612339,3469697,2324020,2033937,1270453,7503660
World,OWID_WRL,2014,158896,3404416,10680713,10877221,8344205,5699061,3456978,2320290,2018460,1260129,7324949
World,OWID_WRL,2015,167432,3638385,10975077,10976827,8655156,5765930,3440845,2311029,1995641,1248780,7130866
World,OWID_WRL,2016,168447,3765352,11117434,11054353,8943250,5827115,3432717,2311592,1978300,1232963,6925388
World,OWID_WRL,2017,175850,3996964,11438699,11246435,9215524,5863411,3419754,2306552,1953804,1223500,6731761
World,OWID_WRL,2018,181592,4154664,11596980,11370985,9413781,5884754,3386655,2285564,1899804,1187909,6430116
World,OWID_WRL,2019,191697,4299407,11772971,11608089,9613675,5940199,3366134,2280542,1873426,1174176,6234616
World,OWID_WRL,2020,220608,4851769,13022139,13061248,10975648,6623039,3588262,2296794,1791952,1136524,5978332
World,OWID_WRL,2021,240424,5049874,13857204,14696733,12401044,7715818,4212755,2649640,1923540,1144912,5836156
World,OWID_WRL,2022,246717,4941828,12738092,12960688,10378485,6379709,3469646,2347720,1861360,1165482,5788900
World,OWID_WRL,2023,243360,4949728,12765292,13168804,10232116,6220012,3360232,2268561,1791513,1126899,5525091
