Entity,Code,Year,Deaths - Sex: all - Age: 100+ - Variant: estimates,Deaths - Sex: all - Age: 90-99 - Variant: estimates,Deaths - Sex: all - Age: 80-89 - Variant: estimates,Deaths - Sex: all - Age: 70-79 - Variant: estimates,Deaths - Sex: all - Age: 60-69 - Variant: estimates,Deaths - Sex: all - Age: 50-59 - Variant: estimates,Deaths - Sex: all - Age: 40-49 - Variant: estimates,Deaths - Sex: all - Age: 30-39 - Variant: estimates,Deaths - Sex: all - Age: 20-29 - Variant: estimates,Deaths - Sex: all - Age: 10-19 - Variant: estimates,Deaths - Sex: all - Age: 0-9 - Variant: estimates
Africa (UN),,1982,626,32891,275307,592013,583604,461471,390776,395751,451614,414415,4619217
Africa (UN),,1983,717,35401,289138,617125,612443,485454,410929,417879,477607,448734,4896787
Africa (UN),,1984,801,37337,299352,633149,627410,497651,422595,433678,497911,462424,4914037
Africa (UN),,1985,877,38863,308299,647161,640533,505860,429295,440910,504812,468446,4918708
Africa (UN),,1986,917,40114,317324,661529,652320,513943,436440,449640,514203,473321,4886837
Africa (UN),,1987,933,41309,326135,673254,660026,520665,446746,466486,533850,483594,4755526
Africa (UN),,1988,1003,45432,341584,697665,685149,536133,455332,470846,532566,490360,4955305
Africa (UN),,1989,1026,45958,349338,710051,692267,540167,463787,485906,548195,492954,4812012
Africa (UN),,1990,1047,46910,361301,733201,714551,557394,484211,511708,577471,510035,4861379
Africa (UN),,1991,1069,47892,372712,757115,738662,573678,501836,530128,589084,530880,5005029
Africa (UN),,1992,1086,48749,382964,778370,760002,590384,525185,558886,617436,556683,5051377
Africa (UN),,1993,1116,49503,389048,790248,774808,600032,542089,579901,639617,564223,4969072
Africa (UN),,1994,1161,50963,403871,825391,840032,677622,677365,768866,838435,683271,5051977
Africa (UN),,1995,1427,53836,413135,825733,809951,624865,571380,602784,657774,569917,4983947
Africa (UN),,1996,1337,53836,424263,842569,827820,642557,596966,636535,690925,586203,5018527
Africa (UN),,1997,1144,53949,435349,860457,843868,653847,611998,656377,711632,598242,5016601
Africa (UN),,1998,1067,55519,448213,882806,864788,680004,648068,703073,766631,628427,5063758
Africa (UN),,1999,1113,58174,459767,897621,870356,688640,659455,712779,771927,610886,4945496
Africa (UN),,2000,1177,61399,471841,912178,872779,696013,664321,715279,763027,602593,4890547
Africa (UN),,2001,1312,65727,488494,935140,885455,715062,686403,738920,783119,606591,4832731
Africa (UN),,2002,1452,69643,503913,955371,896079,731726,704472,761711,800074,608414,4771696
Africa (UN),,2003,1583,74120,520468,977209,907064,749485,721968,779992,809806,606238,4695732
Africa (UN),,2004,1722,78079,533932,993364,915167,764713,734488,792805,816443,604141,4626156
Africa (UN),,2005,1894,82647,550519,1014385,929225,781560,744955,800185,819587,604042,4554101
Africa (UN),,2006,2048,86816,566700,1032406,941749,794112,749112,799380,814244,598610,4462312
Africa (UN),,2007,2186,90764,583033,1048370,952395,805132,750937,795960,808074,591617,4376206
Africa (UN),,2008,2296,93883,599864,1062759,964522,815926,750777,792830,802528,588217,4308345
Africa (UN),,2009,2412,97621,622687,1086973,993094,848076,772629,811190,841615,611307,4319936
Africa (UN),,2010,2525,100293,638660,1093168,997544,839011,749520,775876,787320,585963,4183115
