,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
61183,31342,Tiril Kampenhaug Eckhoff,F,23.0,163.0,59.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
61185,31342,Tiril Kampenhaug Eckhoff,F,23.0,163.0,59.0,Norway,NOR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Bronze
61219,31360,"Jessica Jane ""Jess"" Eddie",F,31.0,178.0,75.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Silver
61236,31370,Peta Louise Edebone,F,35.0,176.0,70.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver
61253,31377,Tino Edelmann,M,24.0,185.0,72.0,Germany,GER,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Bronze
61260,31381,der Francis Carbonera,M,32.0,205.0,107.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Gold
61295,31391,Simon Eder,M,26.0,186.0,79.0,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
61300,31391,Simon Eder,M,30.0,186.0,79.0,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
61322,31400,Ross Samuel Edgar,M,25.0,168.0,72.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Keirin,Silver
61338,31411,Johan Niklas Edin,M,28.0,171.0,80.0,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Curling,Curling Men's Curling,Bronze
61348,31419,Ulf Niklas Alexander Edler,M,27.0,191.0,98.0,Sweden,SWE,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
61377,31433,"Alexander ""Alex"" Edmondson",M,22.0,184.0,76.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
